experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,25.944,0.004,6486,longtail_060,longtail,92,0.210863,sparse_k,sparse_k,5.635824,4.519091
H5,0.5,25.944,0.004,6486,rag_037,rag,34,0.526006,sparse_k,int4,3.214477,2.461877
H5,0.5,25.944,0.004,6486,longtail_024,longtail,53,0.318248,sparse_k,sparse_k,3.693633,3.144672
H5,0.5,25.944,0.004,6486,rag_038,rag,41,0.409188,sparse_k,sparse_k,3.312191,2.938048
H5,0.5,25.944,0.004,6486,longtail_030,longtail,36,0.194314,sparse_k,int4,2.40086,2.620263
H5,0.5,25.944,0.004,6486,longtail_071,longtail,34,0.201726,sparse_k,int4,2.288333,2.461877
H5,0.5,25.944,0.004,6486,longtail_028,longtail,40,0.163265,sparse_k,sparse_k,2.520804,2.925424
H5,0.5,25.944,0.004,6486,longtail_042,longtail,24,0.236443,sparse_k,int4,1.668633,1.692561
H5,0.5,25.944,0.004,6486,longtail_032,longtail,36,0.137895,sparse_k,int4,2.231602,2.620263
H5,0.5,25.944,0.004,6486,longtail_008,longtail,48,0.06603,sparse_k,sparse_k,2.661942,3.04621
H5,0.5,51.888,0.008,6486,prefix_003,prefix,168,0.917029,sparse_k,int4,11.79418,6.761459
H5,0.5,51.888,0.008,6486,session_025,session,211,0.693205,sparse_k,int4,13.752053,8.933387
H5,0.5,51.888,0.008,6486,prefix_017,prefix,165,0.863716,sparse_k,int4,11.455587,6.628321
H5,0.5,51.888,0.008,6486,session_029,session,253,0.546582,sparse_k,int4,16.004224,11.530585
H5,0.5,51.888,0.008,6486,session_007,session,186,0.696013,sparse_k,int4,12.216177,7.610666
H5,0.5,51.888,0.008,6486,session_013,session,194,0.641399,sparse_k,int4,12.541794,8.015812
H5,0.5,51.888,0.008,6486,session_028,session,219,0.562378,sparse_k,int4,13.862905,9.391841
H5,0.5,51.888,0.008,6486,session_030,session,195,0.602691,sparse_k,int4,12.487165,8.067654
H5,0.5,51.888,0.008,6486,session_024,session,204,0.566105,sparse_k,int4,12.933978,8.546233
H5,0.5,51.888,0.008,6486,prefix_004,prefix,145,0.792835,sparse_k,int4,10.067865,5.802036
H5,0.5,51.888,0.008,6486,session_021,session,192,0.595457,sparse_k,int4,12.281188,7.912926
